========================================================================================================================
Five-Day Reversal Factor Performance Detailed Metrics (2010-2022) [After NEU]
========================================================================================================================
| Year | NEXT_1DAY_IC | NEXT_1DAY_AbsIC | NEXT_1DAY_RankIC | NEXT_1DAY_AbsRankIC | NEXT_1DAY_ICIR | NEXT_5DAY_IC | NEXT_5DAY_AbsIC | NEXT_5DAY_RankIC | NEXT_5DAY_AbsRankIC | NEXT_5DAY_ICIR | NEXT_20DAY_IC | NEXT_20DAY_AbsIC | NEXT_20DAY_RankIC | NEXT_20DAY_AbsRankIC | NEXT_20DAY_ICIR |
|------|--------------|-----------------|------------------|---------------------|----------------|--------------|-----------------|------------------|---------------------|----------------|---------------|------------------|-------------------|----------------------|-----------------|
| ALL  | -0.0302      | 0.0695          | -0.0491          | 0.0912              | 0.3562         | -0.0315      | 0.0665          | -0.0488          | 0.0863              | 0.4737        | -0.0252       | 0.0579           | -0.0375            | 0.0718               | 0.4352        |
| 2010 | -0.0618      | 0.0975          | -0.0817          | 0.1168              | 0.5901         | -0.0567      | 0.0876          | -0.0777          | 0.1065              | 0.6473        | -0.0216       | 0.0567           | -0.0367            | 0.0704               | 0.1993        |
| 2011 | -0.0418      | 0.0821          | -0.0550          | 0.0989              | 0.4314         | -0.0371      | 0.0764          | -0.0470          | 0.0890              | 0.4860        | -0.0373       | 0.0740           | -0.0426            | 0.0810               | 0.5041        |
| 2012 | -0.0398      | 0.0771          | -0.0593          | 0.1007              | 0.4464         | -0.0454      | 0.0872          | -0.0639          | 0.1079              | 0.5211        | -0.0306       | 0.0700           | -0.0341            | 0.0778               | 0.4393        |
| 2013 | -0.0384      | 0.0676          | -0.0657          | 0.0909              | 0.5027         | -0.0349      | 0.0642          | -0.0643          | 0.0944              | 0.5438        | -0.0145       | 0.0498           | -0.0374            | 0.0697               | 0.2082        |
| 2014 | -0.0292      | 0.0563          | -0.0669          | 0.0922              | 0.4366         | -0.0213      | 0.0454          | -0.0584          | 0.0860              | 0.2477        | -0.0123       | 0.0355           | -0.0347            | 0.0603               | 0.3470        |
| 2015 | -0.0395      | 0.0803          | -0.0652          | 0.1103              | 0.3994         | -0.0506      | 0.0832          | -0.0755          | 0.1115              | 0.6078        | -0.0494       | 0.0734           | -0.0626            | 0.0921               | 0.5360        |
| 2016 | -0.0309      | 0.0715          | -0.0507          | 0.0932              | 0.3542         | -0.0404      | 0.0718          | -0.0600          | 0.0905              | 0.5630        | -0.0313       | 0.0624           | -0.0436            | 0.0762               | 0.5016        |
| 2017 | -0.0186      | 0.0710          | -0.0373          | 0.0925              | 0.2155         | -0.0130      | 0.0627          | -0.0232          | 0.0757              | 0.2075        | -0.0258       | 0.0602           | -0.0327            | 0.0708               | 0.4268        |
